"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,Término,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Resultados,"Indicador de resultados","Valor usado (BRL)","Custo por resultados",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-05-01,2026-05-31,"CA [TRÁFEGO REDES SOCIAIS]",active,2026-03-04,Contínuo,500,Diário,23596,total_profile_visits,4196.98,0.17786828,451037,1.677736,756721,22540,2.978641,0.186201,5.546271,41,15707,669,
2026-05-01,2026-05-31,"CA Maratoninha [Trafego site inscrição]",active,2026-03-11,Contínuo,50,Diário,3533,actions:omni_landing_page_view,586.87,0.16611095,41316,1.515708,62623,4274,6.824968,0.137312,9.371477,3533,280,7,
