"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"Post do Instagram: ✨ Beleza, autoestima e cuidado...",recently_completed,2026-06-15,2026-07-15,2026-06-15,252,profile_visit_view,0.56642857,142.74,"Usando orçamento da campanha",0,9436,1.262823,11916,265,2.223901,0.538642,11.978852,5,252,19,
2026-07-01,2026-07-21,[ADV][Frio][Amplo][40km],active,2026-06-16,Contínuo,2026-07-07,286426,reach,1.25934796,360.71,"Usando orçamento da campanha",0,286426,1.105591,316670,318,0.10042,1.134308,1.139072,,150,0,
2026-07-01,2026-07-21,"Post do Instagram: Vem aí o Arraiá do Cidade! 🤠🌽...",not_delivering,2026-06-16,2026-06-27,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: A Sol Kids chegou para...",recently_completed,2026-06-16,2026-07-16,2026-06-16,220,profile_visit_view,0.48781818,107.32,"Usando orçamento da campanha",0,4644,1.309432,6081,219,3.601381,0.490046,17.648413,1,220,32,
2026-07-01,2026-07-21,"Post do Instagram: O Festival de Inverno está...",not_delivering,2026-06-18,2026-06-24,2026-06-18,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: Atenção, colecionadores 🎮✨

A...",not_delivering,2026-06-18,2026-06-21,2026-06-18,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: São os últimos dias do Circo...",not_delivering,2026-06-19,2026-06-28,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: Descontos Imperdíveis? Temos!🔥...",not_delivering,2026-06-19,2026-06-24,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,[ADV][Frio][Amplo][10km],not_delivering,2026-06-25,2026-06-30,2026-06-25,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"Post do Instagram: Chegou a De Meninas no seu...",active,2026-06-24,2026-07-23,2026-06-24,493,profile_visit_view,0.40661258,200.46,"Usando orçamento da campanha",0,8824,1.3767,12148,500,4.115904,0.40092,16.501482,2,493,81,
