"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,Término,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Resultados,"Indicador de resultados","Valor usado (BRL)","Custo por resultados",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-06-01,2026-06-14,"CJ 01 [Interesses] [40 KM] [18+]",inactive,2026-03-04,Contínuo,"Usando orçamento da campanha",0,923,total_profile_visits,199.69,0.21634886,29544,1.107501,32720,905,2.765892,0.220652,6.102995,3,643,8,
2026-06-01,2026-06-14,"CJ 02 - [remarketing] [40 KM] [18+]",inactive,2026-03-31,Contínuo,"Usando orçamento da campanha",0,1656,total_profile_visits,242.3,0.14631643,42958,1.069533,45945,1611,3.506366,0.150403,5.273697,2,1299,25,
2026-06-01,2026-06-14,"CJ 03 - [Advantage ] [40 KM] [18+]",inactive,2026-04-01,Contínuo,"Usando orçamento da campanha",0,1074,total_profile_visits,224.13,0.20868715,39221,1.065858,41804,1047,2.504545,0.214069,5.361449,,842,14,
2026-06-01,2026-06-14,"CJ 04 [LL 2% 90 D ] [40KM] 18+",inactive,2026-04-01,Contínuo,"Usando orçamento da campanha",0,504,total_profile_visits,68.49,0.13589286,9111,1.06355,9690,495,5.108359,0.138364,7.068111,,390,6,
2026-06-01,2026-06-14,"CJ 01 [Interesses] [40 KM] [18+] — Cópia",active,2026-06-03,Contínuo,"Usando orçamento da campanha",0,5736,total_profile_visits,864.32,0.1506834,102297,1.187454,121473,5425,4.466013,0.159322,7.115326,11,4008,53,
2026-06-01,2026-06-14,"CJ 02 - [remarketing] [40 KM] [18+] — Cópia",active,2026-06-03,Contínuo,"Usando orçamento da campanha",0,12097,total_profile_visits,1827.94,0.15110689,258236,1.201025,310148,11756,3.790448,0.15549,5.893767,22,9079,118,
2026-06-01,2026-06-14,"CJ 03 - [Advantage ] [40 KM] [18+] — Cópia",active,2026-06-03,Contínuo,"Usando orçamento da campanha",0,11821,total_profile_visits,1773.78,0.15005329,164411,1.380863,227029,11416,5.028432,0.155377,7.813011,8,8834,72,
2026-06-01,2026-06-14,"CJ 04 [LL 2% 90 D ] [40KM] 18+ — Cópia",active,2026-06-03,Contínuo,"Usando orçamento da campanha",0,3534,total_profile_visits,534.12,0.15113752,62440,1.179885,73672,3311,4.494245,0.161317,7.249973,11,2321,29,
