"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CA - Tráfego - site -  Feirão Carbank —  Ofertas",inactive,2026-05-20,2026-05-28,Contínuo,,,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 51 [ Tráfego][ofertas da semana]",inactive,2024-08-29,2024-08-29,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 54 [Whatsapp] [Toso]",inactive,2024-08-29,2024-09-14,Contínuo,,,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [TIPAVE] [Whatsapp]",inactive,2024-09-12,2025-04-04,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Whatsapp] [CWB]",inactive,2024-09-19,2025-04-07,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 69 [Whatsapp] [Dgongora]",inactive,2025-01-23,2026-06-01,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 99 [Tráfego] [FEIRÃO CARBANK]",inactive,2025-05-12,2025-05-22,Contínuo,,,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 100 [Carrossel] [Tráfego] [Carros família]",inactive,2025-05-15,2025-06-26,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 92 [O.Z -Whatsapp]",inactive,2025-06-06,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 104 [ALCANCE] [FEIRÃO SAFRA]",inactive,2025-06-24,2025-07-04,Contínuo,0,reach,,30,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Instagram post: No Feirão Só Carro Top, você encontra diversidade de veículos com preços que cabem no seu bolso!",inactive,2025-07-23,2025-07-28,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[ALCANCE] [FEIRÃO SANTANDER] [AGOSTO]",inactive,2025-08-12,2025-08-29,Contínuo,0,reach,,300,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 108 [Alcance - conteúdos Redes Sociais]",inactive,2025-09-13,2025-10-17,Contínuo,0,reach,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 111 [Toso Premium] [Mensagem]",inactive,2025-09-30,2025-10-16,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"FEIRÃO - BLACK",inactive,2025-11-18,2025-12-02,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Institucional ]  [Reconhecimento]",inactive,2025-12-02,2026-01-05,Contínuo,0,reach,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Lojas - Tipave] [Whatsapp]",inactive,2025-12-04,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Whatsapp] [Loja - Jairauto]",inactive,2025-12-04,2026-05-29,Contínuo,,,,20,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [CITY-WHATSAPP]",inactive,2025-12-17,2026-05-29,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 02/26 [Tráfego - Site] [Institucional]",inactive,2026-01-07,2026-04-10,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 03 [Tráfego] [Feirão BV]",inactive,2026-01-12,2026-01-26,Contínuo,,,,300,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 03/26 [Tráfego site] [Ofertas]",inactive,2026-01-16,2026-02-26,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 04/26 [OZ] [Mensagens Whatsapp]",inactive,2026-01-20,2026-01-21,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Tráfego] [Post - Instagram]",inactive,2026-03-31,2026-05-04,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Sitima - whatsapp]",inactive,2026-04-24,2026-05-29,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA - Tráfego - site -  Feirão Carbank",inactive,2026-05-13,2026-05-28,Contínuo,,,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Autoshop Linha Verde - Divulgação nas Imediações",inactive,2015-12-14,2015-12-14,Contínuo,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[16/11/2018] Promovendo ""Autoshop Linha Verde""",inactive,2018-11-16,2019-04-03,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Tráfego - Semana do Brasil - 02-09",inactive,2020-09-02,2020-09-14,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[L3FT] Reconhecimento",inactive,2020-09-15,2021-10-01,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"[L3FT] Tráfego_Stories",inactive,2021-01-18,2021-10-01,Contínuo,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 01 [Reconhecimento] [Reels Auto Jans ] 20.02",inactive,2024-02-20,2024-05-14,Contínuo,0,reach,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 04 [Feirão Santander] [Alcance]",inactive,2024-03-12,2024-03-17,Contínuo,0,reach,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 06 [Advantage] [Tráfego]",inactive,2024-03-12,2024-03-27,Contínuo,,,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 07 [Dia do consumidor] [15.03]",inactive,2024-03-15,2024-03-15,Contínuo,0,reach,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 08 [ Reconhecimento] [Bruna mecanica]",inactive,2024-03-15,2024-05-14,Contínuo,0,reach,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 09 [Alcance] [Feirão C6]",inactive,2024-03-21,2024-03-25,Contínuo,0,reach,,200,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 10 [Ofertas da semana] [Alcance]",inactive,2024-03-27,2024-04-04,Contínuo,0,reach,,100,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 11 [Influencer] [Alcance] OFF DIA 21/06",inactive,2024-03-27,2024-06-21,Contínuo,0,reach,,50,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 53[Tráfego] [Gran Torino] [Kicks]",inactive,2024-08-27,2026-05-29,Contínuo,,,,10,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [ATUAL] [Whatapp]",inactive,2024-09-12,2024-11-21,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA [Whatapp] [Provenci]",inactive,2024-09-19,2025-01-30,Contínuo,,,,25,Diário,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CA 63 [Tráfego] [Ofertas da semana]",inactive,2024-10-17,2024-11-28,Contínuo,,,,100,Diário,0,0,0,0,,,,0,
