Relatório de campanha
1 de julho de 2026 - 21 de julho de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
Removida,Carros Seminovos,"20,00", --,Diário,BRL,Removido,campanha removida,898661944,Display,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[L3FT] DIS_ACP,"33,33", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,16906817964,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão,"150,00", --,Diário,BRL,Removido,campanha removida; campanha finalizada,786157184,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão - Final de Semana - Gráfico #2,"250,00", --,Diário,BRL,Removido,campanha removida; campanha finalizada,1951494688,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Institucional Display,"20,00", --,Diário,BRL,Pausado,campanha pausada,224590103,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[Display] Shopito / Carros,"20,00", --,Diário,BRL,Pausado,campanha pausada,899208470,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Simplifica,"50,00", --,Diário,BRL,Removido,campanha removida,399799343,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[L3FT] SCH_Marcas_Veiculos_Inativa,"58,00", --,Diário,BRL,Pausado,campanha pausada,1441217954,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Feirão - Display Gráfico,"130,00",Feirão - Display,Diário,BRL,Pausado,campanha pausada; campanha finalizada,785632981,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,[L3FT] PMax_Feirão #2,"50,00", --,Diário,BRL,Removido,campanha removida; campanha finalizada,20304130474,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
