"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CJ [Interesses - 24+ - Curitiba 40km]",not_delivering,2026-04-22,2026-04-22,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ Interesse 24+",not_delivering,2026-04-22,2026-04-22,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ [Interesses 19+] [40km - CWB]",not_delivering,2026-04-24,2026-04-28,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01- [Interesses] [19-65] [40km+]",not_delivering,2026-04-24,2026-05-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Interesses - Curitiba - 19+",not_delivering,2026-05-12,2026-05-12,Contínuo,5168,total_profile_visits,0.16521672,"Usando orçamento da campanha",0,853.84,80489,50814,1.583993,4141,5.845519,0.181475,10.608158,289
2026-07-01,2026-07-21,"Interesses - 40km Curitiba - 25+",inactive,2026-05-14,2026-07-03,Contínuo,6,actions:link_click,0.07333333,"Usando orçamento da campanha",0,0.44,267,264,1.011364,6,2.247191,0.073333,1.64794,1
2026-07-01,2026-07-21,"LL 1% - 40km Curitiba - 25+",inactive,2026-05-14,2026-06-12,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Remarketing - 40km Curitiba - 25+",inactive,2026-05-14,2026-07-03,Contínuo,930,actions:link_click,0.09494624,"Usando orçamento da campanha",0,88.3,26145,20700,1.263043,846,3.557085,0.094946,3.377319,375
2026-07-01,2026-07-21,"CJ 01 [Interesse] [24-54] [Curitiba 40km]",not_delivering,2026-05-14,2026-05-14,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [Interesse - adavantage] [24-54] [Curitiba 40km]",not_delivering,2026-05-14,2026-05-14,Contínuo,197,actions:omni_landing_page_view,0.29614213,"Usando orçamento da campanha",0,58.34,17710,12091,1.464726,294,1.699605,0.193821,3.294184,197
2026-07-01,2026-07-21,"CJ 03 [Remarketing 90D] [24-44] [Curitiba 40km]",inactive,2026-05-14,2026-06-29,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 04 [Remarketing SITE] [24-44] [Curitiba 40km]",inactive,2026-05-14,2026-06-29,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [LL 1%] [24-54] [Curitiba 40km]",not_delivering,2026-05-14,2026-05-14,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
