"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",País,"Veiculação da campanha",Início,"Data da última edição",Resultados,"Indicador de resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Custo por resultados",Impressões,Alcance,Frequência,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",US,active,2026-01-06,2026-05-21,4,actions:leadgen.other,50,Diário,1074.822211,268.70555284,3890,2422,1.606111,61,1.568123,17.620036,276.30391,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",CA,active,2026-01-06,2026-05-21,2,actions:leadgen.other,50,Diário,248.623643,124.31182156,1519,914,1.661926,21,1.382488,11.839221,163.675868,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",AE,active,2026-01-06,2026-05-21,2,actions:leadgen.other,50,Diário,226.941581,113.47079062,1778,1134,1.567901,20,1.124859,11.347079,127.638685,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",ES,active,2026-01-06,2026-05-21,1,actions:leadgen.other,50,Diário,179.29705,179.29705044,1492,1058,1.410208,17,1.13941,10.546885,120.172286,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",FR,active,2026-01-06,2026-05-21,,,50,Diário,114.640902,,1094,665,1.645113,11,1.005484,10.4219,104.790587,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",DE,active,2026-01-06,2026-05-21,,,50,Diário,87.208293,,436,281,1.551601,4,0.917431,21.802073,200.019021,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",JP,active,2026-01-06,2026-05-21,,,50,Diário,46.074381,,465,272,1.709559,8,1.72043,5.759298,99.084691,,
2026-05-01,2026-05-31,"Post do Instagram: Olha essa novidade que chegou...",BR,inactive,2026-05-29,2026-06-17,,,15,Diário,37.66,,3631,3262,1.113121,168,4.626825,0.224167,10.371798,,
2026-05-01,2026-05-31,"CA 01/26 [Cadastro] [Internacional]",KR,active,2026-01-06,2026-05-21,,,50,Diário,20.371937,,225,141,1.595745,3,1.333333,6.790646,90.541944,,
