"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",País,"Veiculação da campanha",Início,"Data da última edição",Resultados,"Indicador de resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Custo por resultados",Impressões,Alcance,Frequência,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-06-01,2026-06-30,"CA 01/26 [Cadastro] [Internacional]",US,active,2026-01-06,2026-05-21,6,actions:leadgen.other,50,Diário,996.154093,166.02568218,2922,1823,1.602852,42,1.437372,23.717955,340.915158,,
2026-06-01,2026-06-30,"CA 01/26 [Cadastro] [Internacional]",CA,active,2026-01-06,2026-05-21,1,actions:leadgen.other,50,Diário,250.396274,250.39627419,1274,779,1.63543,19,1.491366,13.178751,196.543386,,
2026-06-01,2026-06-30,"Post do Instagram: Olha essa novidade que chegou...",BR,inactive,2026-05-29,2026-06-17,,,15,Diário,246.76,,22263,13576,1.639879,1302,5.848268,0.189524,11.083861,,
2026-06-01,2026-06-30,"CA 01/26 [Cadastro] [Internacional]",DE,active,2026-01-06,2026-05-21,1,actions:leadgen.other,50,Diário,111.170545,111.17054474,435,256,1.699219,7,1.609195,15.881506,255.564471,,
2026-06-01,2026-06-30,"CA 01/26 [Cadastro] [Internacional]",FR,active,2026-01-06,2026-05-21,,,50,Diário,98.688238,,801,493,1.624746,3,0.374532,32.896079,123.20629,,
2026-06-01,2026-06-30,"Post do Instagram: O Corta Preço é pra você que...",BR,completed,2026-06-05,2026-06-05,,,30,Diário,59.28,,3948,3544,1.113995,101,2.558257,0.586931,15.015198,,
2026-06-01,2026-06-30,"Post do Instagram: Chegou o Corta Preço no Seu...",BR,completed,2026-06-05,2026-06-05,,,30,Diário,59.16,,3712,3211,1.156026,112,3.017241,0.528214,15.9375,,
2026-06-01,2026-06-30,"CA 01/26 [Cadastro] [Internacional]",JP,active,2026-01-06,2026-05-21,,,50,Diário,58.71085,,320,180,1.777778,5,1.5625,11.74217,183.471406,,
2026-06-01,2026-06-30,"Post do Instagram: Nesse feriado aquele momento...",BR,completed,2026-06-03,2026-06-03,,,20,Diário,19.7,,3189,2936,1.086172,19,0.595798,1.036842,6.177485,,
