"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio",Plataforma,"Veiculação de anúncio",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",Término,"Configuração de atribuição",Lance,"Tipo de lance","Última edição significativa","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Nome do conjunto de anúncios","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-05-01,2026-05-31,"Ad 02 - certificações",Instagram,active,6,actions:leadgen.other,163.90305885,"Usando orçamento da campanha",0,983.418353,5359,3804,1.40878,183.50781,68,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,"Ad 02 - certificações",Facebook,active,3,actions:leadgen.other,247.01054897,"Usando orçamento da campanha",0,741.031647,4150,2754,1.506899,178.561843,59,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,safra,Instagram,active,,,,"Usando orçamento da campanha",0,111.71,497,353,1.407932,224.768612,7,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,safra,Facebook,active,,,,"Usando orçamento da campanha",0,84.56,443,331,1.338369,190.880361,5,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,"Ad 01",Instagram,active,,,,"Usando orçamento da campanha",0,4.25,26,22,1.181818,163.461538,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,"Ad 01",Facebook,active,,,,"Usando orçamento da campanha",0,18.05,73,55,1.327273,247.260274,1,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,"Ad 03 - processos",Instagram,active,,,,"Usando orçamento da campanha",0,24.09,133,105,1.266667,181.12782,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
2026-05-01,2026-05-31,"Ad 03 - processos",Facebook,active,,,,"Usando orçamento da campanha",0,30.87,218,180,1.211111,141.605505,5,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,ABSOLUTE_OCPM,2026-05-21T14:20:42-0300,–,–,–,"CJ 02 [Interesses] [25+]",,
