"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",Plataforma,"Veiculação da campanha",Início,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-04-01,2026-04-30,"CA 01/26 [Cadastro] [Internacional]",Instagram,active,2026-01-06,2026-05-21,11,actions:leadgen.other,181.63727273,50,Diário,1998.01,11888,6698,1.774858,168,1.41319,11.892917,168.069482,,
2026-04-01,2026-04-30,"CA 01/26 [Cadastro] [Internacional]",Facebook,active,2026-01-06,2026-05-21,4,actions:leadgen.other,253.3925,50,Diário,1013.57,6742,3428,1.966744,91,1.349748,11.138132,150.336695,,
