"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Seguidores no Instagram","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Cliques no link únicos"
2026-07-01,2026-07-21,"CJ 03 [Interesses] [F/M] [45-54] [Geo 30km]",inactive,2025-04-10,Contínuo,2025-04-29,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Cj 01 [Interesses] [25-40] [20Km+]",not_delivering,2025-06-02,Contínuo,2026-02-18,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Cj 02 [Interesses] [40-55] [20KM+]",not_delivering,2025-06-02,Contínuo,2026-02-18,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES]",not_delivering,2025-11-12,Contínuo,2025-11-13,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CJ 02 [ADVANTAGE]",not_delivering,2025-11-14,Contínuo,2025-11-14,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Novo objetivo Tráfego Conjunto de anúncios com configurações recomendadas",not_delivering,2025-11-14,Contínuo,2025-11-14,,,0,,20,Diário,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses - utensílios domésticos  ] [-30] [10km]",inactive,2026-02-26,Contínuo,2026-03-09,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"CJ 02 [Interesses - utensílios domésticos  ] [25+] [10km]",not_delivering,2026-02-26,Contínuo,2026-07-07,597,total_profile_visits,92,0.14484087,"Usando orçamento da campanha",0,86.47,12373,10279,1.203716,4.275438,0.163459,6.988604,489
2026-07-01,2026-07-21,"CJ 01 [Interesses- compras online]",not_delivering,2026-03-03,Contínuo,2026-03-09,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Post do Instagram: 💘 SORTEIO DIA DOS NAMORADOS...",not_delivering,2026-06-02,2026-06-06,2026-06-02,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Post do Instagram: Você precisa de nós 👀✨

Na...",not_delivering,2026-06-02,2026-06-06,2026-06-02,,,0,,"Usando orçamento da campanha",0,0,0,0,0,,,0,
2026-07-01,2026-07-21,"Post do Instagram: Todo mundo tem aquele item...",not_delivering,2026-07-01,2026-07-08,2026-07-01,251,profile_visit_view,25,0.16115538,"Usando orçamento da campanha",0,40.45,2768,2450,1.129796,8.778902,0.166461,14.613439,234
2026-07-01,2026-07-21,"Post do Instagram: Jogo do Brasil combina com...",not_delivering,2026-07-01,2026-07-05,2026-07-01,62,profile_visit_view,2,0.38129032,"Usando orçamento da campanha",0,23.64,1097,1059,1.035883,5.834093,0.369375,21.549681,63
2026-07-01,2026-07-21,[ADV][IG][Interesses][F][25-55]][10km],active,2026-07-07,Contínuo,2026-07-07,1333,profile_visit_view,314,0.16287322,"Usando orçamento da campanha",0,217.11,26026,18584,1.400452,5.194805,0.160584,8.342043,1258
